Price,Brand,Model,Variant,Series,Year,Kilometers,Type,Gearbox,Fuel,Status,CC,Color,Seating Capacity
20990,Toyota,Hilux,Workmate,TGN16R MY12,2013,207000,Dual Cab Pick-up,Automatic,Unleaded Petrol,Used,2694,White,5
48900,Land Rover,Discovery 4,3.0 TDV6,MY13,2012,178423,Wagon,Automatic,Diesel,Used,2993,Fuji,5
10000,Mitsubishi,Lancer,ES,CJ MY12,2012,252000,Sedan,Manual,Unleaded Petrol,Used,1998,White,5
13995,Jeep,Compass,Sport (4X2),MK MY12,2012,126976,Wagon,Automatic,Premium Unleaded Petrol,Used,1998,Silver,5
21990,Subaru,Forester,X (satnav),MY10,2010,85936,Wagon,Automatic,Unleaded Petrol,Used,2457,White,5
20990,Mazda,CX-5,Maxx (4X2),MY13 Upgrade,2014,83130,Wagon,Manual,Unleaded Petrol,Used,1997,Grey,5
38990,Mitsubishi,Triton,GLS (4X4),MQ MY16,2015,76086,Dual Cab Utility,Manual,Diesel,Used,2440,Blue,5
35995,Volkswagen,Amarok,TDI400 Core Plus (4X4),2H MY17,2017,92217,Dual Cab Utility,Manual,Diesel,Used,1968,White,5
29880,Mitsubishi,Triton,Exceed (4X4),MQ MY16,2015,265691,Dual Cab Utility,Automatic,Diesel,Used,2440,Blue,5
14880,Jeep,Compass,Limited (4X4),MK MY12,2013,118441,Wagon,Automatic,Premium Unleaded Petrol,Used,2359,Grey,5
55990,Hyundai,I30,N Premium With Sunroof,CN7.V1 MY22,2021,9236,Sedan,Manual,Premium Unleaded Petrol,Used,1998,Grey,5
35990,Toyota,Hilux,SR (4X4),GUN126R MY17,2018,289991,Dual Cab Chassis,Manual,Diesel,Used,2753,Silver,5
60114,Audi,Q2,35 Tfsi,3Y MY22,2022,1254,Wagon,Automatic,Premium Unleaded Petrol,Demo,1498,Silver,5
61800,Mercedes-Benz,GLA45,4Matic,X156 MY16,2016,33147,Wagon,Automatic,Premium Unleaded Petrol,Used,1991,Silver,5
16996,Toyota,Rukus,Build 3,AZE151R,2011,115857,Wagon,Automatic,Unleaded Petrol,Used,2362,Black,5
27990,MG,HS,Core,SAS23 MY21,2021,18280,Wagon,Automatic,Unleaded Petrol,Used,1490,White,5
48990,Mitsubishi,Triton,GLX Plus (4X4),MR MY19,2019,45280,Club Cab Pickup,Automatic,Diesel,Used,2440,Black,4
28990,Jeep,Wrangler,Renegade Sport (4X4),JK MY13,2013,124836,Hardtop,Automatic,Unleaded Petrol,Used,3604,Silver,4
75400,Ford,Ranger,Raptor 2.0 (4X4),PX Mkiii MY19,2019,56170,Double Cab Pick Up,Automatic,Diesel,Used,1996,White,5
25981,Hyundai,Tucson,Active X (fwd),TL,2016,83572,Wagon,Automatic,Unleaded Petrol,Used,1999,Blue,5
7444,Ford,Falcon,G6,FG,2009,221130,Sedan,Automatic,Unleaded Petrol,Used,3984,Gold,5
31990,Land Rover,Discovery Sport,TD4 150 SE 5 Seat,LC MY17,2017,129763,Wagon,Automatic,Diesel,Used,1999,White,5
22990,Toyota,Corolla,Ascent,ZRE172R,2017,64900,Sedan,Automatic,Unleaded Petrol,Used,1798,White,5
19500,Mitsubishi,Outlander,LS (4X2),ZK MY16,2016,180000,Wagon,Manual,Unleaded Petrol,Used,1998,Black,5
34913,Volkswagen,Amarok,V6 TDI 550 Sportline,2H MY19,2019,202699,Dual Cab Utility,Automatic,Diesel,Used,2967,Silver,5
34000,Honda,Civic,VTI-LX,MY18,2019,43000,Sedan,Automatic,Unleaded Petrol,Used,1498,Grey,5
26000,Suzuki,Vitara,RT-S,LY,2018,92000,Wagon,Automatic,Unleaded Petrol,Used,1586,White,5
50990,Toyota,RAV4,GXL 2WD Hybrid,Axah52R,2019,17400,Wagon,Automatic,Unleaded Petrol/Electric,Used,2487,Metallic,5
4500,Honda,Civic,VTI,40,2006,229200,Sedan,Automatic,Unleaded Petrol,Used,1799,Silver,5
25000,Hyundai,Tucson,Active X (fwd),TL,2016,114000,Wagon,Automatic,Unleaded Petrol,Used,1999,White,5
14888,Mazda,3,SP25,BL 11 Upgrade,2012,158000,Hatchback,Automatic,Unleaded Petrol,Used,2488,Grey,5
34000,Mazda,CX-5,Maxx Sport (4X2),MY18 (KF Series 2),2018,23000,Wagon,Automatic,Unleaded Petrol,Used,1997,Gun,5
34490,Renault,Koleos,Initiale (4X4),XZG MY18,2018,29760,Wagon,Automatic,Premium Unleaded Petrol,Used,2488,White,5
35490,Mazda,BT-50,XTR (4X2),MY16,2016,60848,Dual Cab Utility,Automatic,Diesel,Used,3196,Grey,5
9000,Audi,A4,2.0 TDI Avant,B7,2007,240000,Wagon,Automatic,Diesel,Used,1968,Silver,5
77500,BMW,X6,Xdrive 50I,F16,2016,50750,Coupe,Automatic,Premium Unleaded Petrol,Used,4395,White,5
17990,Mitsubishi,ASX,Aspire (4WD),XA MY12,2012,125000,Wagon,Automatic,Unleaded Petrol,Used,1998,Silver,5
24500,Toyota,Kluger,GX (4X2),GSU50R,2015,195000,Wagon,Automatic,Unleaded Petrol,Used,3456,White,7
31990,Isuzu,D-MAX,LS-U HI-Ride (4X2),TF MY15,2015,144283,Crew Cab Utility,Automatic,Diesel,Used,2999,White,5
15990,Suzuki,Swift,GL Navigator,FZ MY14,2014,52626,Hatchback,Automatic,Unleaded Petrol,Used,1372,Red,5
29990,Mitsubishi,Outlander,ES 7 Seat (2WD),ZL MY19,2019,59258,Wagon,Automatic,Unleaded Petrol,Used,2360,White,7
28990,Mitsubishi,Eclipse Cross,LS (2WD),YA MY19,2019,54770,Wagon,Automatic,Unleaded Petrol,Used,1499,Grey,5
68900,Land Rover,Defender,90,MY10,2010,86719,Wagon,Manual,Diesel,Used,2401,Black,4
28870,Kia,Sorento,SLI (4X4),UM,2015,88169,Wagon,Automatic,Diesel,Used,2199,Black,7
33970,Honda,HR-V,RS,MY21,2020,14122,Wagon,Automatic,Unleaded Petrol,Used,1799,Red,5
10500,Renault,Clio,Authentique,X98,2014,69350,Hatchback,Manual,Unleaded Petrol,Used,898,Black,5
14999,BMW,X3,Xdrive 30D,F25,2013,258777,Wagon,Automatic,Diesel,Used,2993,White,5
46990,Volkswagen,Tiguan,Allspace 132 TSI Comfortline,5NA MY20,2020,28288,Wagon,Automatic,Premium Unleaded Petrol,Used,1984,White,7
31500,Hyundai,Tucson,Active X (fwd),TL3 MY19,2019,59941,Wagon,Automatic,Unleaded Petrol,Used,1999,Silver,5
65960,Volkswagen,Arteon,140TSI Elegance Shooting Brake,3H MY22,2022,1973,Wagon,Automatic,Premium Unleaded Petrol,Demo,1984,White,5
33880,Mitsubishi,Triton,GLX (4X4),MQ MY18,2018,114808,Club Cab Chassis,Manual,Diesel,Used,2440,White,4
27190,Holden,Colorado,LTZ (4X2),RG MY16,2016,187161,Crew Cab Pickup,Automatic,Diesel,Used,2776,White,5
16766,Holden,Astra,LS,BL MY17,2018,76777,Sedan,Automatic,Unleaded Petrol,Used,1399,Grey,5
27990,Hyundai,Iload,3S Liftback,TQ Series II (TQ3) MY1,2016,99254,Van,Manual,Premium Unleaded Petrol,Used,2359,White,3
12499,Toyota,Yaris,YRS,NCP131R,2014,194445,Hatchback,Automatic,Unleaded Petrol,Used,1497,Red,5
16990,Mazda,CX-9,Luxury,10 Upgrade,2010,195198,Wagon,Automatic,Unleaded Petrol,Used,3726,Black,7
2300,Ford,Courier,GL,PE,2000,263928,Crew Cab Pickup,Automatic,Unleaded Petrol,Used,2606,White,5
32980,Toyota,Camry,SL,ASV70R,2018,90979,Sedan,Automatic,Unleaded Petrol,Used,2494,White,5
49990,Nissan,Navara,ST (4X4) Black Edition,D23 Series III MY18,2018,61337,Dual Cab Pick-up,Automatic,Diesel,Used,2298,White,5
12990,Jeep,Patriot,Sport (4X2),MK MY12,2012,136454,Wagon,Automatic,Premium Unleaded Petrol,Used,1998,Silver,5
36990,Ford,Ranger,XL 3.2 (4X4),PX Mkii MY18,2018,139626,Cab Chassis,Automatic,Diesel,Used,3198,White,2
30998,Toyota,Hilux,Workmate,TGN121R,2017,111566,Dual Cab Utility,Automatic,Unleaded Petrol,Used,2694,White,5
28500,Toyota,Landcruiser,GXL (4X4),FZJ105R,2000,188200,Wagon,Automatic,Unleaded Petrol,Used,4477,Green,8
6000,Holden,Cruze,CD,JH MY12,2012,146000,Sedan,Automatic,Unleaded Petrol,Used,1796,Light,5
38500,Ford,Ranger,XLT 3.2 HI-Rider (4X2),PX Mkii,2015,125000,Crew Cab Pickup,Automatic,Diesel,Used,3198,Cool,5
26000,Toyota,Hilux,SR5 (4X4),GGN25R 08 Upgrade,2009,290000,Dual Cab Pick-up,Automatic,Unleaded Petrol,Used,3956,Blue,5
22980,Jeep,Grand Cherokee,Limited (4X4),WK MY13,2012,85811,Wagon,Automatic,Diesel,Used,2987,Black,5
42990,Mitsubishi,Pajero Sport,Exceed (4X4) 7 Seat,MY17,2017,82459,Wagon,Automatic,Diesel,Used,2442,Grey,7
18795,Volkswagen,Golf,103 TSI Highline,AU,2013,73834,Hatchback,Automatic,Premium Unleaded Petrol,Used,1395,Blue,5
31299,Hyundai,Santa FE,Highlander Crdi (4X4),DM,2014,86908,Wagon,Automatic,Diesel,Used,2199,White,7
10000,Suzuki,Swift,GL,FZ,2014,144000,Hatchback,Manual,Unleaded Petrol,Used,1372,Grey,5
13000,Volkswagen,Amarok,TDI400 (4X4),2H MY12,2011,278400,Dual Cab Utility,Manual,Diesel,Used,1968,Silver,5
35000,Holden,Colorado,LT (4X4),RG,2013,126000,Crew Cab Pickup,Manual,Diesel,Used,2776,Black,5
28800,Toyota,Camry,Atara S Hybrid,AVV50R MY15,2016,86000,Sedan,Automatic,Unleaded Petrol/Electric,Used,2494,Blue,5
10000,Mazda,2,NEO,DE MY12,2012,94711,Hatchback,Manual,Unleaded Petrol,Used,1498,Metallic,5
27500,Mitsubishi,Eclipse Cross,ES (2WD),YA MY18,2018,80000,Wagon,Automatic,Unleaded Petrol,Used,1499,White,5
33500,Mercedes-Benz,A250,Sport,176 MY14,2014,83500,Hatchback,Automatic,Premium Unleaded Petrol,Used,1991,White,5
30988,Ford,Puma,ST-Line,MY21.75,2021,5895,Hatchback,Automatic,Premium Unleaded Petrol,Used,999,Black,5
29500,Toyota,RAV4,GX (4X4),ASA44R MY17,2017,95290,Wagon,Automatic,Unleaded Petrol,Used,2494,Burgundy,5
13750,Hyundai,Accent,Active,RB3 MY16,2015,129211,Hatchback,Automatic,Unleaded Petrol,Used,1368,Black,5
14900,Volvo,S60,T6,F,2011,181891,Sedan,Automatic,Premium Unleaded Petrol,Used,2953,Grey,5
35000,Toyota,Hilux,SR5 (4X4),KUN26R MY12,2013,203000,Dual Cab Pick-up,Manual,Diesel,Used,2982,Black,5
13500,Nissan,Dualis,ST (4X2),J10 Series II,2012,130000,Wagon,Automatic,Unleaded Petrol,Used,1997,Black,5
10500,Mercedes-Benz,E350,Elegance,211 MY06 Upgrade,2006,205000,Sedan,Automatic,Premium Unleaded Petrol,Used,3498,Silver,5
17000,Nissan,Pathfinder,ST (4X4),R51 Series 4,2012,235000,Wagon,Automatic,Diesel,Used,2488,Silver,7
26500,Jeep,Compass,Limited (4X4),M6 MY18,2017,67000,Wagon,Automatic,Unleaded Petrol,Used,2359,White,5
32000,Toyota,Kluger,GX (4X2),GSU50R,2014,93000,Wagon,Automatic,Unleaded Petrol,Used,3456,White,7
8990,Holden,Trax,LS,TJ,2013,198000,Wagon,Manual,Unleaded Petrol,Used,1796,Orange,5
